##,2004,2008,2013,2018,state,constituency_s,malay_voter_ratio,non_malay_voter_ratio
P096,BN-UMNO,PR-PAS,BN-UMNO,PH-PAN,Selangor,Kuala Selangor,64,35
P097,BN-MCA,PR-PKR,PR-PKR,PH-PKR,Selangor,Selayang,45,53
P098,BN-UMNO,PR-PKR,PR-PKR,PH-PKR,Selangor,Gombak,74,24
P099,BN-UMNO,PR-PKR,PR-PKR,PH-PKR,Selangor,Ampang,55,44
P100,BN-MCA,BN-MCA,PR-PKR,PH-PKR,Selangor,Pandan,44,55
P101,BN-UMNO,PR-PAS,PR-PAS,PH-PAN,Selangor,Hulu Langat,53,45
P102,BN-MCA,PR-DAP,PR-DAP,PH-DAP,Selangor,Bangi (previously known as Serdang)[3],39,60
P103,BN-Gerakan,PR-DAP,PR-DAP,PH-DAP,Selangor,Puchong,39,60
P104,BN-MCA,PR-PKR,PR-PKR,PH-PKR,Selangor,Subang (previously known as Kelana Jaya)[3],38,60
P105,BN-MCA,PR-PKR,PR-PKR,PH-PKR,Selangor,Petaling Jaya (previously known as Petaling Jaya Selatan)[3],40,59
P106,BN-MCA,PR-DAP,PR-DAP,PH-DAP,Selangor,Damansara (previously known as Petaling Jaya Utara)[3],14,84
P107,BN-MIC,PR-PKR,PR-PKR,PH-PKR,Selangor,Sungai Buloh (previously known as Subang)[3],48,51
P108,BN-UMNO,PR-PAS,PR-PAS,PH-PAN,Selangor,Shah Alam,69,29
P109,BN-MIC,PR-PKR,PR-PKR,PH-PKR,Selangor,Kapar,51,48
P110,BN-MCA,PR-DAP,PR-DAP,PH-DAP,Selangor,Klang,32,66
P111,BN-MIC,PR-PAS,PR-PAS,PH-PAN,Selangor,Kota Raja,44,54
P112,BN-UMNO,PR-PKR,PR-PKR,PH-PKR,Selangor,Kuala Langat,52,43
P113,BN-UMNO,BN-UMNO,PR-PAS,PH-PAN,Selangor,Sepang,57,38
P114,DAP,PR-DAP,PR-DAP,PH-DAP,W.P. Kuala Lumpur,Kepong,4,95
P115,BN-Gerakan,PR-PKR,PR-PKR,IND,W.P. Kuala Lumpur,Batu,44,54
P116,BN-MCA,PR-PKR,PR-PKR,PH-PKR,W.P. Kuala Lumpur,Wangsa Maju,53,45
P117,BN-Gerakan,PR-DAP,PR-DAP,PH-DAP,W.P. Kuala Lumpur,Segambut,33,65
P118,BN-UMNO,BN-UMNO,BN-UMNO,PH-PKR,W.P. Kuala Lumpur,Setiawangsa,56,41
P119,BN-UMNO,PR-PAS,BN-UMNO,PH-PPBM,W.P. Kuala Lumpur,Titiwangsa,68,30
P120,DAP,PR-DAP,PR-DAP,PH-DAP,W.P. Kuala Lumpur,Bukit Bintang,14,84
P121,BN-UMNO,PR-PKR,PR-PKR,PH-PKR,W.P. Kuala Lumpur,Lembah Pantai,55,43
P122,DAP,PR-DAP,PR-DAP,PH-DAP,W.P. Kuala Lumpur,Seputeh,5,94
P123,DAP,PR-DAP,PR-DAP,PH-DAP,W.P. Kuala Lumpur,Cheras,10,89
P124,BN-MCA,PR-PKR,PR-PKR,PH-PKR,W.P. Kuala Lumpur,Bandar Tun Razak,53,46
P125,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,W.P. Putrajaya,Putrajaya,94,5
P126,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Negeri Sembilan,Jelebu,63,32
P127,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Negeri Sembilan,Jempol,60,38
P128,BN-MCA,PR-DAP,PR-DAP,PH-DAP,Negeri Sembilan,Seremban,44,55
P129,BN-UMNO,BN-UMNO,BN-UMNO,PH-PPBM,Negeri Sembilan,Kuala Pilah,76,22
P130,BN-MCA,PR-DAP,PR-DAP,PH-DAP,Negeri Sembilan,Rasah,28,70
P131,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Negeri Sembilan,Rembau,70,28
P132,BN-MIC,PR-PKR,PR-PKR,PH-PKR,Negeri Sembilan,Port Dickson (previously known as Telok Kemang)[3],42,55
P133,BN-UMNO,BN-UMNO,BN-UMNO,PH-PAN,Negeri Sembilan,Tampin,61,37
P134,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Melaka,Masjid Tanah,82,17
P135,BN-MCA,BN-MCA,BN-MCA,PH-PPBM,Melaka,Alor Gajah,59,41
P136,BN-UMNO,BN-UMNO,BN-UMNO,PH-PKR,Melaka,Tangga Batu,68,29
P137,BN-UMNO,BN-UMNO,PR-PKR,PH-PKR,Melaka,Hang Tuah Jaya (previously known as Bukit Katil)[3],53,47
P138,BN-MCA,PR-DAP,PR-DAP,PH-DAP,Melaka,Kota Melaka,36,63
P139,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Melaka,Jasin,71,28
P140,BN-MIC,BN-MIC,BN-MIC,PH-PKR,Johor,Segamat,44,56
P141,BN-UMNO,BN-UMNO,BN-UMNO,PH-PKR,Johor,Sekijang,56,44
P142,BN-MCA,BN-MCA,BN-MCA,PH-DAP,Johor,Labis,36,62
P143,BN-UMNO,BN-UMNO,BN-UMNO,PH-PPBM,Johor,Pagoh,64,35
P144,BN-UMNO,BN-UMNO,BN-UMNO,PH-PKR,Johor,Ledang,53,46
P145,BN-MCA,PR-DAP,PR-DAP,PH-DAP,Johor,Bakri,44,55
P146,BN-UMNO,BN-UMNO,BN-UMNO,PH-PPBM,Johor,Muar,62,36
P147,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Johor,Parit Sulong,72,28
P148,BN-MCA,BN-MCA,BN-MCA,BN-MCA,Johor,Ayer Hitam,56,42
P149,BN-UMNO,BN-UMNO,BN-UMNO,PH-PPBM,Johor,Sri Gading,63,36
P150,BN-UMNO,BN-UMNO,PR-PKR,PH-PKR,Johor,Batu Pahat,52,48
P151,BN-Gerakan,BN-Gerakan,BN-Gerakan,PH-PPBM,Johor,Simpang Renggam,57,42
P152,BN-MCA,BN-MCA,PR-DAP,PH-DAP,Johor,Kluang,39,59
P153,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Johor,Sembrong,58,40
P154,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Johor,Mersing,79,21
P155,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Johor,Tenggara,72,25
P156,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Johor,Kota Tinggi,86,13
P157,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Johor,Pengerang,88,12
P158,BN-MCA,BN-MCA,BN-MCA,PH-PKR,Johor,Tebrau,47,51
P159,BN-UMNO,BN-UMNO,BN-UMNO,PH-PKR,Johor,Pasir Gudang,47,49
P160,BN-UMNO,BN-UMNO,BN-UMNO,PH-PKR,Johor,Johor Bahru,51,48
P161,BN-UMNO,BN-UMNO,BN-UMNO,PH-PAN,Johor,Pulai,47,51
P162,BN-MCA,BN-MCA,PR-DAP,PH-DAP,Johor,Iskandar Puteri (previously known as Gelang Patah)[3],34,64
P163,BN-MCA,BN-MCA,PR-DAP,PH-DAP,Johor,Kulai,33,66
P164,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Johor,Pontian,69,31
P165,BN-MCA,BN-MCA,BN-MCA,PH-PPBM,Johor,Tanjung Piai (previously known as Tanjong Piai)[3],51,49
P166,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,W.P. Labuan,Labuan,60,37
P167,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Sabah,Kudat,47,51
P168,BN-PBS,BN-PBS,BN-PBS,BN-PBS,Sabah,Kota Marudu,26,73
P169,BN-UMNO,BN-UMNO,BN-UMNO,WARISAN,Sabah,Kota Belud,59,41
P170,BN-UPKO,BN-UPKO,BN-UPKO,BN-UPKO,Sabah,Tuaran,44,56
P171,BN-SAPP,BN-SAPP,BN-UMNO,WARISAN,Sabah,Sepanggar,52,45
P172,BN-PBS,PR-DAP,PR-DAP,PH-DAP,Sabah,Kota Kinabalu,15,83
P173,BN-UPKO,BN-UPKO,BN-UPKO,PH-PKR,Sabah,Putatan,63,34
P174,BN-UPKO,BN-UPKO,PR-PKR,WARISAN,Sabah,Penampang,16,82
P175,BN-UMNO,BN-UMNO,BN-UMNO,WARISAN,Sabah,Papar,60,39
P176,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Sabah,Kimanis,60,38
P177,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Sabah,Beaufort,61,38
P178,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Sabah,Sipitang,58,40
P179,BN-UPKO,BN-UPKO,BN-UPKO,PH-PKR,Sabah,Ranau,11,89
P180,BN-PBS,BN-PBS,BN-PBS,USA-STAR,Sabah,Keningau,18,80
P181,BN-UMNO,BN-UMNO,BN-UMNO,PH-DAP,Sabah,Tenom,21,78
P182,BN-PBRS,BN-PBRS,BN-PBRS,BN-PBRS,Sabah,Pensiangan,12,87
P183,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Sabah,Beluran,40,59
P184,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Sabah,Libaran,57,36
P185,BN-PBS,BN-PBS,BN-PBS,WARISAN,Sabah,Batu Sapi,51,41
P186,IND,BN-LDP,PR-DAP,PH-DAP,Sabah,Sandakan,34,61
P187,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Sabah,Kinabatangan,42,58
P188,BN-UMNO,BN-UMNO,BN-UMNO,WARISAN,Sabah,Silam,64,26
P189,BN-UMNO,BN-UMNO,BN-UMNO,WARISAN,Sabah,Semporna,96,4
P190,BN-SAPP,BN-SAPP,BN-PBS,PH-PKR,Sabah,Tawau,50,46
P191,BN-UMNO,BN-UMNO,BN-UMNO,WARISAN,Sabah,Kalabakan,70,23
P192,BN-SPDP,BN-SPDP,BN-SPDP,PH-DAP,Sarawak,Mas Gading,13,87
P193,BN-PBB,BN-PBB,BN-PBB,BN-PBB,Sarawak,Santubong,83,17
P194,BN-PBB,BN-PBB,BN-PBB,BN-PBB,Sarawak,Petra Jaya,79,20
P195,DAP,PR-DAP,PR-DAP,PH-DAP,Sarawak,Bandar Kuching,5,94
P196,BN-SUPP,BN-SUPP,PR-DAP,PH-DAP,Sarawak,Stampin,13,86
P197,BN-PBB,BN-PBB,BN-PBB,BN-PBB,Sarawak,Kota Samarahan,65,34
P198,BN-PBB,BN-PBB,BN-PBB,PH-PKR,Sarawak,Puncak Borneo (previously known as Mambong),12,88
P199,BN-SUPP,BN-SUPP,BN-SUPP,BN-SUPP,Sarawak,Serian,15,86
P200,BN-PBB,BN-PBB,BN-PBB,BN-PBB,Sarawak,Batang Sadong,74,27
P201,BN-PBB,BN-PBB,BN-PBB,BN-PBB,Sarawak,Batang Lupar,77,23
P202,BN-PBDS,BN-PRS,BN-PRS,BN-PRS,Sarawak,Sri Aman,20,80
